part_name,brand,model,year_start,year_end,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
knee -,toyota,corolla,2008,2012,27,12,"53472131, 53484104, 53573229, 53581161, 53691366, 53835769, 53966531, 53999838, 54400530, 54568070 ... (+2 more)",189.8,90.0,238.0,2.25
gear box 5 speed -,toyota,corolla,2002,2007,26,12,"53400892, 53413369, 53889068, 54560231, 54777180, 59855589, 60930698, 61139026, 63216307, 64929292 ... (+2 more)",652.2,532.8,833.0,2.17
drive shaft -(right rear),skoda,octavia,2013,2020,66,11,"53375244, 53503260, 53589567, 54159171, 54272539, 54284856, 58539226, 61748921, 62656879, 63591065 ... (+1 more)",236.65,200.5,285.6,6.0
drive shaft -(right front),toyota,corolla,2019,2027,41,11,"54151722, 60059053, 63083525, 63350267, 64489888, 64546406, 65399932, 65865835, 66223983, 66434290 ... (+1 more)",353.8,236.8,357.0,3.73
strut rear -(left),toyota,corolla,2002,2007,39,11,"53589483, 53618513, 53650880, 53664653, 53689539, 54008914, 54034252, 54582169, 60930689, 62953076 ... (+1 more)",42.8,23.7,59.5,3.55
coil -,toyota,corolla,2002,2007,35,11,"54311388, 54321523, 54325977, 54533639, 55161386, 58955945, 58955946, 64465053, 64465065, 64465066 ... (+1 more)",53.3,47.4,53.5,3.18
motor cushion -,toyota,corolla,2002,2007,35,11,"54084378, 54084790, 54085064, 54098489, 54099109, 54100965, 54105228, 54121433, 54142195, 63050947 ... (+1 more)",23.7,5.9,28.6,3.18
passenger airbag -,toyota,corolla,2019,2027,30,11,"59140468, 60058722, 61076256, 63310195, 63350253, 64466975, 64546429, 64597454, 65680832, 66209839 ... (+1 more)",296.0,281.2,333.2,2.73
power steering control unit -,toyota,corolla,2002,2007,26,11,"53696108, 53715029, 54063166, 54068576, 54469879, 54527905, 54684107, 54684257, 55491149, 55583541 ... (+1 more)",177.6,165.8,238.0,2.36
distributors -,toyota,corolla,1988,1992,23,11,"53687628, 53832764, 53832935, 53954187, 54335221, 54475593, 54497668, 54505192, 54520169, 54550646 ... (+1 more)",80.2,59.2,84.5,2.09
contact roll airbag -,toyota,corolla,2019,2027,25,10,"53596126, 53856491, 53856614, 53928362, 58712351, 61076273, 62133431, 63019913, 63126049, 64597414",214.2,177.6,238.0,2.5
engine diesel -,toyota,corolla,2002,2007,25,10,"53365006, 53365016, 53368241, 53657292, 53728297, 53884324, 53996296, 54010499, 54348690, 58974428",935.4,522.2,952.0,2.5
sensor abs -,toyota,corolla,1998,2001,25,10,"53897787, 54552575, 54558254, 54558373, 54559216, 54560130, 54561122, 54572494, 54576365, 54585046",47.4,41.4,47.6,2.5
curtain airbags -(right),skoda,octavia,2013,2020,54,9,"53451718, 53485361, 53604578, 54252481, 54252635, 59583068, 60484610, 60973822, 63439416",148.1,141.5,184.4,6.0
"drive shaft - , e-(left front)",vw,golf,2013,2020,54,9,"53938689, 53938690, 54223177, 54244809, 54245168, 54247541, 54260459, 54263144, 64496424",306.7,265.4,321.3,6.0
shock absorbers rear -(rear),skoda,octavia,2013,2020,49,9,"53369770, 53409730, 53441870, 59351317, 59351332, 59673189, 59673190, 60226034, 60226036",47.4,47.2,59.5,5.44
hub rear -(rear),toyota,corolla,2002,2007,44,9,"53699458, 56097887, 57180324, 57182287, 57894044, 57894045, 58671369, 58671370, 66735158",94.8,94.4,119.0,4.89
airbag front sensor -(left),toyota,corolla,1998,2001,29,9,"53832121, 53917707, 53941082, 54015932, 54075417, 54547852, 54556139, 54578670, 54659260",35.6,23.7,47.4,3.22
fuel filter / holder -,toyota,corolla,2002,2007,29,9,"53612965, 54016343, 54016497, 54034176, 54143186, 54522220, 54777219, 60114021, 62989066",35.6,17.8,47.6,3.22
gear box 6 speed -,toyota,corolla,2008,2012,29,9,"54187634, 56279319, 56321370, 58540693, 60095678, 60987037, 63128547, 65059226, 65209258",1356.6,592.0,1428.0,3.22
steering wheel airbag -,toyota,corolla,2019,2027,29,9,"59140469, 60058723, 63041911, 63350256, 63461617, 64546410, 65257590, 65680798, 66448274",296.0,281.2,297.5,3.22
airbag krocksensor -,toyota,corolla,2019,2027,24,9,"59245086, 59245089, 60132894, 61769058, 61769059, 61769263, 61769264, 63054383, 63054399",56.2,54.9,59.2,2.67
engine casing -,toyota,corolla,2002,2007,24,9,"53677350, 54533387, 54612069, 54634256, 54679094, 55544010, 58397284, 58423332, 62470766",59.1,47.4,59.5,2.67
fuel pump electric -,toyota,corolla,1993,1997,18,9,"54549667, 54549674, 54558231, 54558291, 54569407, 54572196, 54574086, 54575016, 54575243",100.6,100.2,101.1,2.0
airbag control unit -,toyota,corolla,2008,2012,14,9,"53446995, 53496737, 53580055, 54080251, 54432610, 54531816, 54556263, 56267982, 60224930",236.4,181.2,238.0,1.56
curtain airbags -(right),toyota,corolla,2008,2012,9,9,"53991822, 54082891, 54470946, 54479779, 54492177, 59391659, 61845408, 65198434, 65434861",118.4,84.1,177.6,1.0
hub rear -(rear),toyota,corolla,1993,1997,9,9,"53708861, 53710888, 53715555, 53716493, 54560998, 54568829, 54568941, 54581788, 54586126",47.4,47.4,82.9,1.0
